,Name,TimeStamp,ISO,Shaq,Chuck
0,20140514_Chuck_and_Shaq,0:00:00:25,0.25,0,1
1,20140514_Chuck_and_Shaq,0:00:00:50,0.5,0,1
2,20140514_Chuck_and_Shaq,0:00:00:75,0.75,0,1
3,20140514_Chuck_and_Shaq,0:00:01:00,1.0,0,1
4,20140514_Chuck_and_Shaq,0:00:01:00,1.0,0,1
5,20140514_Chuck_and_Shaq,0:00:01:25,1.25,0,1
6,20140514_Chuck_and_Shaq,0:00:01:50,1.5,0,1
7,20140514_Chuck_and_Shaq,0:00:01:75,1.75,0,1
8,20140514_Chuck_and_Shaq,0:00:10:00,10.0,0,1
9,20140514_Chuck_and_Shaq,0:00:11:00,11.0,0,1
10,20140514_Chuck_and_Shaq,0:00:12:00,12.0,0,1
11,20140514_Chuck_and_Shaq,0:00:13:00,13.0,0,1
12,20140514_Chuck_and_Shaq,0:00:14:00,14.0,0,1
13,20140514_Chuck_and_Shaq,0:00:15:00,15.0,0,1
14,20140514_Chuck_and_Shaq,0:00:16:00,16.0,0,1
15,20140514_Chuck_and_Shaq,0:00:17:00,17.0,0,1
16,20140514_Chuck_and_Shaq,0:00:18:00,18.0,0,1
17,20140514_Chuck_and_Shaq,0:00:19:00,19.0,0,1
18,20140514_Chuck_and_Shaq,0:00:02:00,2.0,0,1
19,20140514_Chuck_and_Shaq,0:00:02:00,2.0,0,1
20,20140514_Chuck_and_Shaq,0:00:02:25,2.25,0,1
21,20140514_Chuck_and_Shaq,0:00:02:50,2.5,0,1
22,20140514_Chuck_and_Shaq,0:00:02:75,2.75,0,1
23,20140514_Chuck_and_Shaq,0:00:20:00,20.0,0,1
24,20140514_Chuck_and_Shaq,0:00:21:00,21.0,0,1
25,20140514_Chuck_and_Shaq,0:00:22:00,22.0,0,1
26,20140514_Chuck_and_Shaq,0:00:23:00,23.0,0,1
27,20140514_Chuck_and_Shaq,0:00:24:00,24.0,0,1
28,20140514_Chuck_and_Shaq,0:00:25:00,25.0,0,1
29,20140514_Chuck_and_Shaq,0:00:26:00,26.0,0,1
30,20140514_Chuck_and_Shaq,0:00:27:00,27.0,0,1
31,20140514_Chuck_and_Shaq,0:00:28:00,28.0,0,1
32,20140514_Chuck_and_Shaq,0:00:29:00,29.0,0,1
33,20140514_Chuck_and_Shaq,0:00:03:00,3.0,0,1
34,20140514_Chuck_and_Shaq,0:00:03:00,3.0,0,1
35,20140514_Chuck_and_Shaq,0:00:03:25,3.25,0,1
36,20140514_Chuck_and_Shaq,0:00:03:50,3.5,0,1
37,20140514_Chuck_and_Shaq,0:00:03:75,3.75,0,1
38,20140514_Chuck_and_Shaq,0:00:30:00,30.0,0,1
39,20140514_Chuck_and_Shaq,0:00:31:00,31.0,0,1
40,20140514_Chuck_and_Shaq,0:00:32:00,32.0,0,1
41,20140514_Chuck_and_Shaq,0:00:33:00,33.0,0,1
42,20140514_Chuck_and_Shaq,0:00:34:00,34.0,0,1
43,20140514_Chuck_and_Shaq,0:00:35:00,35.0,0,1
44,20140514_Chuck_and_Shaq,0:00:04:00,4.0,0,1
45,20140514_Chuck_and_Shaq,0:00:04:00,4.0,0,1
46,20140514_Chuck_and_Shaq,0:00:04:25,4.25,0,1
47,20140514_Chuck_and_Shaq,0:00:04:50,4.5,0,1
48,20140514_Chuck_and_Shaq,0:00:04:75,4.75,0,1
49,20140514_Chuck_and_Shaq,0:00:05:00,5.0,0,1
50,20140514_Chuck_and_Shaq,0:00:05:00,5.0,0,1
51,20140514_Chuck_and_Shaq,0:00:05:25,5.25,0,1
52,20140514_Chuck_and_Shaq,0:00:05:50,5.5,0,1
53,20140514_Chuck_and_Shaq,0:00:05:75,5.75,0,1
54,20140514_Chuck_and_Shaq,0:00:06:00,6.0,0,1
55,20140514_Chuck_and_Shaq,0:00:06:00,6.0,0,1
56,20140514_Chuck_and_Shaq,0:00:06:25,6.25,0,1
57,20140514_Chuck_and_Shaq,0:00:06:50,6.5,0,1
58,20140514_Chuck_and_Shaq,0:00:06:75,6.75,0,1
59,20140514_Chuck_and_Shaq,0:00:07:00,7.0,0,1
60,20140514_Chuck_and_Shaq,0:00:07:00,7.0,0,1
61,20140514_Chuck_and_Shaq,0:00:07:25,7.25,0,1
62,20140514_Chuck_and_Shaq,0:00:07:50,7.5,0,1
63,20140514_Chuck_and_Shaq,0:00:07:75,7.75,0,1
64,20140514_Chuck_and_Shaq,0:00:08:00,8.0,0,1
65,20140514_Chuck_and_Shaq,0:00:08:00,8.0,0,1
66,20140514_Chuck_and_Shaq,0:00:08:25,8.25,0,1
67,20140514_Chuck_and_Shaq,0:00:08:50,8.5,0,1
68,20140514_Chuck_and_Shaq,0:00:08:75,8.75,0,1
69,20140514_Chuck_and_Shaq,0:00:09:00,9.0,0,1
